"Nystad Arild N.";"Application of Control and System Theory to Macroeconomics: A Survey";;52;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AK 1063";"St. Gallen";"Forschungsgemeinschaft für Nationalökonomie";1981;;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;"hsg duplicate";0991059;0303555
"Stadler Markus";"Controlling in der öffentlichen Verwaltung";-;84;Druckerzeugnis;"05.12.2003 08:19";"Zum Ausgabenaspekt- Bd. 1";Haupt-Bibliothek;"VE 145 1";Solothurn;"Verlag der FkF";1991;;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";"hsg duplicate";0991063;0052388;;"Zum Ausgabenaspekt- Bd. 1"
"Sorba Antal";"Die grosse Schröpfung";3.430.18620.X;507;Druckerzeugnis;"05.12.2003 08:19";"5000 Jahre Wirtschaft trotz Finanzamt";Haupt-Bibliothek;"AC 152";Düsseldorf/Wien;"Econ Verlag";1971;;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;"hsg duplicate";0991065;0361501
"Grass Rolf-Dieter";"Ausweichwirtschaft Abgrenzungen-Ausprägungen-Ausmasse";3.8204.5458.6;399;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AK 1099";Frankfurt;"Peter Lang";1984;;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;"hsg duplicate";0991067;0201585
"Gärdenfors Peter/Sahlin Nils-Eric";"Decision-probability-and utility";"0.521.33399.1 0.521.33658.9";425;Druckerzeugnis;"05.12.2003 08:19";"Selected Readings";Haupt-Bibliothek;"AK 1198";Cambridge;"Cambridge University Press";1988;;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;"hsg duplicate";0991069;0001479
"Thoma Gerhard/Niemann Ursula";"Die Auslegung der Steuergesetze in Wissenschaft und Praxis";;343;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"JD 302";Köln;"Verlag Dr. Otto Schmidt KG";1965;;JD;;;"Allgemeine Steuerrechtsliteratur";"Grundsätze der Rechtsanwendung";;"hsg duplicate";0991074;0127933
"Ehret Helmut";"Die Anwendbarkeit von Input-Output-Modellen als Prognoseinstrument";;160;Druckerzeugnis;"05.12.2003 08:19";"Empirische Überprüfungen auf der Basis einer Input-Output-Tabelle für die Bundesrepublik Deutschland von 1954";Haupt-Bibliothek;"AE 149";Berlin;"Duncker & Humblot";1970;;YJ;;;Wirtschaftswissenschaften;"Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material";;"hsg duplicate";0991076;0320780
"Gammie Malcolm";"Butterworths Yellow Tax Handbook 1996/97 - Part I";"0 406 06498 9";-;Druckerzeugnis;"05.12.2003 08:19";"Statutes, Income Tax, Corporation Tax, Capital Gains Tax";Haupt-Bibliothek;"KG 105 01";London;Butterworths;1996;;KG;;;"Ausländisches Steuerrecht";England;;"hsg duplicate";0999468;0991079
"Aalders Carel A. V./Bertouille S./u.a.";"Branches and Subsidiaries in the European Common Market";90.268.0830.5;307;Druckerzeugnis;"05.12.2003 08:19";"Legal and tax aspects";Haupt-Bibliothek;"FB 135";Netherlands;Kluwer-Deventer;1976;;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";"hsg duplicate";0991081;0126483
OECD;"Taxation and Foreign Direct Investment";-;165;Druckerzeugnis;"02.02.2004 16:17";"The Experience of the Economies in Transition";Haupt-Bibliothek;"LC 0169";Paris;OECD;1995;;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";;"hsg duplicate";0991085;0117448
"Wendt Rudolf";"Die Gebühr als Lenkungsmittel";;157;Druckerzeugnis;05.12.2003;;Haupt-Bibliothek;"GC 103";Hamburg;"Hansischer Gildenverlag, Joachim Heitmann & Co.";1975;;GC;;;Finanzrecht;Kausalabgaben;;"hsg duplicate";0991088;0362844
"Tretter Bertram";"Die Steuermentalität";3.428.03139.3;76;Druckerzeugnis;10.09.2003;"Ein internationaler Vergleich";Haupt-Bibliothek;"CA 204";Berlin;"Duncker & Humblot";1974;;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";"hsg duplicate";0991091;0364730
"Vereinigung schweiz. Betriebswirtschafter";"Die Unternehmung";;;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AJ 155";Bern;"Paul Haupt";1968;;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";;"hsg duplicate";0991092;0008890
"Karl Fritz";"150 Jahre Staatsschuldenverwaltung 17.1.1820 - 17.1.1970";;126;Druckerzeugnis;"05.12.2003 08:19";"Ein Gang durch anderthalb Jahrhunderte deutscher Finanzgeschichte";Haupt-Bibliothek;"DA 111";Berlin;"Duncker & Humblot";1970;;YL2;YL7;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";"hsg duplicate";0991097;0360539
"Schwarzenbach-Hanhart Hans Rudolf";"Berufliche Vorsorge in Text und Tafeln";3.7255.3244.3;224;Druckerzeugnis;22.04.2004;"Textausgabe mit Verweisen auf andere Erlasse, Tafeln über die Zusammenhänge und ausführlichem Sachregister";Haupt-Bibliothek;"WD 223";Zürich;"Schultess Polygraphischer Verlag";1995;;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";;"hsg duplicate";0991100;0077996
"Hesse Joachim Jens/Zöpel Christoph";"Der Staat der Zukunft";3-7890-1937-2;215;Druckerzeugnis;"05.12.2003 08:19";"Reihe: Forum Zukunft";Haupt-Bibliothek;"EA 224";Baden-Baden;Nomos;1990;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;"hsg duplicate";0991108;0044127
"Kommission für Konjunkturfragen des Eidgenössischen Volkswirtschaftsdepartementes";"Der schweizerische Index der industriellen Produktion";;24;Druckerzeugnis;20.04.2004;;Separata;"AE Sep. 08";Bern;"Verlag Schweizerisches Handelsblatt";1965;;YJ;;;Wirtschaftswissenschaften;"Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material";;"hsg duplicate";0991109;0437431
"Hansmeyer K.-H.";"Der öffentliche Kredit";;127;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"DB 101";"Frankfurt am Main";"Fritz Knapp Verlag";1965;;YL2;YL7;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";"hsg duplicate";0991110;0296181
"Sen Amartya K.";"Collective Choice and Social Welfare";0.8162.7765.6;218;Druckerzeugnis;"05.12.2003 08:19";"Mathematical Economics Text";Haupt-Bibliothek;"BA 120";"San Francisco";"Holden-Day, Inc.";1970;;YL1;YL2;YL7;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Allgemeines-	Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";"hsg duplicate";0991116;0199676
"Zimmerlin Erich/Heuberger Heinrich";"Aargauisches Steuerrecht - Gesetzesänderungen (mit Erläuterungen)-Verordnungen und Judikatur der Jahre 1946 bis 1952";;166;Druckerzeugnis;"05.12.2003 08:19";"Bd. 2";Haupt-Bibliothek;"JC 207 2";Aarau;"H.R. Sauerländer & Co.";1953;;JC;;;"Allgemeine Steuerrechtsliteratur";"Schweizerische Kommentare und Handbücher";;"hsg duplicate";0991119;0126627;"Bd. 2"
"Kötzle Alfred";"Die Eignung von Subventionen für die Umweltpolitik";3.428.04695.1;140;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AG 324";Berlin;"Duncker & Humblot";1980;;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;"hsg duplicate";0991121;0200505
"Timm Herbert-Haller Heinz";"Beiträge zur Theorie der öffentlichen Ausgaben";;339;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"BA 103";Berlin;"Duncker & Humblot";1967;;YL1;YL2;YL7;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Allgemeines-	Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";"hsg duplicate";0991134;0288776
"Wennrich Eberhard";"Die typisierende Betrachtungsweise im Steuerrecht";;127;Druckerzeugnis;05.12.2003;;Haupt-Bibliothek;"JD 307";Düsseldorf;"Verlagsbuchhandlung des Instituts für Wirtschaftsprüfer GmbH";1963;;JD;;;"Allgemeine Steuerrechtsliteratur";"Grundsätze der Rechtsanwendung";;"hsg duplicate";0991135;0098827
"Kux Wilhelm R.";"Ansätze zur Privatisierung öffentlicher Aufgaben";3.921678.01.3;267;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AC 210";St.Augustin;"Institut für Kommunalwissenschaften der Konrad-Adenauer-Stiftung";1976;;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;"hsg duplicate";0991140;0204701
"Matzen Heinrich";"Ausgeglichener Staatshaushalt und ökonomische Aktivität";;122;Druckerzeugnis;"05.12.2003 08:19";Dissertation;Haupt-Bibliothek;"AC 128";Bern;Offset;1967;;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;"hsg duplicate";0991145;0291293
"Iblher Peter/Jansen Georg-Dietrich";"Die Bewertung städtischer Entwicklungsalternativen mit Hilfe sozialer Indikatoren - Dargestellt am Beispiel der Stadt Zürich -";;658;Druckerzeugnis;01.12.2004;;Haupt-Bibliothek;"AJ 225";Göttingen;"Vandenhoeck & Ruprecht";1972;;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";;"hsg duplicate";0991148;0354728
"Allemann Richard";"Die Gestaltung der Konzernspitze unter steuerlichen Aspekten";"3 258 05629 3";369;Druckerzeugnis;"05.12.2003 08:19";;"HB Steuerrecht";"PK 177";Bern/Stuttgart/Wien;"Paul Haupt";1997;;PK;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besteuerung juristischer Personen, Kapitalgesellschaften";;"hsg duplicate";0991151;0140559
"Schmidt Hans-Jürgen";"Betriebswirtschaftslehre für die Verwaltung";3-7685-1481-1;341;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"EA 190";Heidelberg;R.v.Decker;1982;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;"hsg duplicate";0991155;0184257
"Johnson Harry";"Beiträge zur Geldtheorie und Geldpolitik";;335;Druckerzeugnis;06.09.2004;;Haupt-Bibliothek;"AK 0226";Berlin;"Duncker & Humblot";1969;;YK;;;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";;"hsg duplicate";0991156;0293726
"Kluegel James R./Smith Eliot R.";"Beliefs about Inequality";0.202.30327.6;313;Druckerzeugnis;01.12.2004;"Americans' Views of What Is and What Ought to Be";Haupt-Bibliothek;"AH 197";"New York";"Aldine de Gruyter";1986;;YV;;;Wirtschaftswissenschaften;"Arbeitnehmerfragen (Labor Economics)";;"hsg duplicate";0991163;0337388
"Hangartner Yvo";"Das Bürgerrecht der Europäischen Union";"3 7255 3887 5";"S. 695-712";Druckerzeugnis;"05.12.2003 08:19";"In: Baldi, Marino, Baumann, Max & u.a., (Hrsg.): Der Einfluss des europäischen Rechts auf die Schweiz, Festschrift für Professor Roger Zäch zum 60. Geburtstag";Haupt-Bibliothek;-;Zürich;"Schulthess Polygraphischer Verlag";-;;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";;"hsg duplicate";0991164;0179274
"Germann Raimund E.";"Administration publique en Suisse";3-258-05424-X;294;Druckerzeugnis;"05.12.2003 08:19";"L'appareil étatique et le gouvernement";Haupt-Bibliothek;"EA 280";Bern;"Paul Haupt";1996;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;"hsg duplicate";0126478;0117738
"Badenhoop Reinhard K. J.";"Bibliographie zur Organisation von Staat-Verwaltung-Wirtschaft - Bd. 1";;766;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"EA 108 1";Köln;"Grote'sche Verlagsbuchhandlung";1966;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;"hsg duplicate";0991165;0324695;"Bd. 1"
"Wacker Georg Friedrich";"Die Steuerwirkungen im Industriebetrieb";;208;Druckerzeugnis;"03.02.2004 16:35";"Dissertation der Uni Mannheim";Haupt-Bibliothek;"SC 104";Darmstadt;"Dr. Stoytscheff";1962;;SC;;;Steuerausweichung;Steuerüberwälzung;;"hsg duplicate";0991170;0254319
"Toillié Barbara";"Dezentrale Vermögensbildungsfonds";3.428.03935.1;"246 + Anhang";Druckerzeugnis;10.12.2004;"Organisation, Funktionsbedingungen, Probleme und Lösungsansätze";Haupt-Bibliothek;"AH 154";Berlin;"Duncker & Humblot";1977;;YV;;;Wirtschaftswissenschaften;"Arbeitnehmerfragen (Labor Economics)";;"hsg duplicate";0991171;0345611
"Bray Jeremy";"Decision in Government";;311;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AD 115";London;"Victor Gollancz Ltd";1970;;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;"hsg duplicate";0991173;0292663
"Grüske Karl-Dieter";"Die personale Budgetinzidenz";3-525-11318-8;347;Druckerzeugnis;"05.12.2003 08:19";"Eine Analyse für die Bundesrepublik";Haupt-Bibliothek;"VB 155";Göttingen;"Vadenhoek & Ruprecht";1978;;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";"hsg duplicate";0991180;0199013
"Palmer John L.";"Creating Jobs Public Employment Programs and Wage Subsidies";0.8157.6892.3;370;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AG 323";"Washington, D.C.";"The Brookings Institution";1978;;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;"hsg duplicate";0991181;0345359
"Brauchli Werner";"Das Phänomen der Stagflation Versuch einer theoretischen Klärung";;321;Druckerzeugnis;"05.12.2003 08:19";"Dissertation der Hochschule St. Gallen, Nr. 571";Haupt-Bibliothek;"AG 230";"St. Gallen";"ok organisation kolb";1975;;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;"hsg duplicate";0991189;0139255
"Schärli Alfred";"Die Gebühren des Bundes";;116;Druckerzeugnis;10.09.2003;;Haupt-Bibliothek;"CB 104";Winterthur;"Verlag P. G. Keller";1955;;YL7;YL8;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder";"hsg duplicate";0991192;0349969
"Grassl Werner";"Die These der Staatsschuldneutralität";3.428.05729.5;133;Druckerzeugnis;"05.12.2003 08:19";"Kritische Erörterung unter besonderer Berücksichtigung von Kreditmarktimperfektionen";Haupt-Bibliothek;"DA 156";Berlin;"Duncker & Humblot";1984;;YL2;YL7;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";"hsg duplicate";0991196;0347952
"Schmähl Winfried";"Alterssicherung und Einkommensverteilung";3.16.338842.6;539;Druckerzeugnis;"05.12.2003 08:19";"Theoretische und empirische Untersuchungen zur Finanzierung, Leistungsgewährung und zur Verteilung zwischen Generationen";Haupt-Bibliothek;"AF 154";Tübingen;"J.C.B. Mohr (Paul Siebeck)";1977;;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";;"hsg duplicate";0991199;0344932
"Atteslander Peter";"Die Grenzen des Wohlstands";3.421.06061.4;196;Druckerzeugnis;"05.12.2003 08:19";"An der Schwelle zum Zuteilungsstaat";Haupt-Bibliothek;"AF 188";Stuttgart;"Deutsche Verlags-Anstalt";1981;;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";;"hsg duplicate";0991201;0342229
"Kleine-Hartlage Michael";"Der Währungsvertrag Schweiz-Liechtenstein";;300;Druckerzeugnis;06.09.2004;"Dissertation der HSG, Nr. 1056, 1988";Haupt-Bibliothek;"AK 0282";Bamberg;"difo-druck schmacht";1988;;YK;;;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";;"hsg duplicate";0991210;0008248
"Baer Hans";"Die Bedeutung des Rentners als Steuerzahler";;138;Druckerzeugnis;10.09.2003;"Berner Dissertation";Haupt-Bibliothek;"CA 113";Affoltern;"Buchdruckerei J. Weiss";1950;;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";"hsg duplicate";0991214;0348072
"Rose Richard/Peters Guy";"Can Government go Bankrupt?";0.333.26280.8;249;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AC 226";London;Macmillan;1978;;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;"hsg duplicate";0991220;0364942
"Usher Dan";"Die ökonomischen Grundlagen der Demokratie";3.593.33148.9;254;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AK 1079";Frankfurt;"Campus Verlag";1983;;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;"hsg duplicate";0991224;0201079
"von Loeffelholz Hans Dietrich";"Die personale Inzidenz des Sozialhaushalts";3.525.11319.6;331;Druckerzeugnis;"05.12.2003 08:19";"Eine theoretische und empirische Studie";Haupt-Bibliothek;"AF 173";Göttingen;"Vandenhoeck & Ruprecht";1979;;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";;"hsg duplicate";0991234;0342526
"Thiemeyer Theo";"Grenzkostenpreise bei öffentlichen Unternehmen";;248;Druckerzeugnis;08.01.2005;;Haupt-Bibliothek;"EG 101";Köln/Opladen;"Westdeutscher Verlag";1964;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;"hsg duplicate";0991239;0652703
"Kriesi Hanspeter";"Bewegung in der Schweizer Politik";3.593.33482.8;539;Druckerzeugnis;"05.12.2003 08:19";"Fallstudien zu politischen Mobilisierungsprozessen in der Schweiz";Haupt-Bibliothek;"AK 0458";Frankfurt;"Campus Verlag GmbH";1985;;YR;;;Wirtschaftswissenschaften;"Gewerbepolitik. Einzelne Wirtschaftszweige";;"hsg duplicate";0991245;0108076
"Beck-Wörner Martin";"Der Energieverbrauch der privaten Haushalte und seine Bestimmungsgründe. Empirische Untersuchung in der Stadt St. Gallen";;"179 + Anhang";Druckerzeugnis;"05.12.2003 08:19";"Dissertation der Hochschule St. Gallen, Nr. 845";Haupt-Bibliothek;"AG 349";Feldkirch;Kaindl;1982;;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;"hsg duplicate";0991247;0063067
"Radel Rainer";"Die Bedeutung des öffentlichen Personennahverkehrs für die Raumordnungspolitik in den ländlichen Regionen der Bundesrepublik Deutschland";;202;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AJ 171";Berlin;"Duncker & Humblot";1970;;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";;"hsg duplicate";0991248;0329677
